county,site_number,date_visited,applicant,damage_location,damage_description,local_estimate,fema_validated,change_notes,unvalidated,,,,,
CHENANGO,30,11/5/2019,Town of McDonough,Pike Road                       42.52338 / -75.74666,"Stream water overwhelmed the culvert 36 IN diameter X 43 FT Long), damaging the headwall (at inlet), washing the stacked stones out of place.",$500,,,,,,,,
CHENANGO,31,11/8/2019,Town of Plymouth,"Montgomery Road
42.612303 / -75.639090","Location with a double culvert, side by side. (Two culverts 5 FT Diameter X 60 FT Long).  Culverts plugged with gravel, causing creek water to overtake the roadway, causing washout that included a portion of the paved road, and an embankment and headwall at outlet. Applicant was able to remove the gravel deposits from the pipes.
1) Earthen/Stone embankment and road washout area: (60 FT Long X 22 FT Wide X 8 FT High)
2) Large rip rap headwall at outlet: (18 FT Long X 2 FT Wide X 15 FT High)
3) Large rip rap headwall at inlet:  (18Ft FT Long X 2 FT Wide X 15 FT High)
4) Cold mix asphalt surface (60 FT Long X 3 FT Wide X 4 IN High)","$26,000","$29,000",,,,,,,
CHENANGO,32,11/8/2019,Town of Plymouth,"Pidgeon Hill Road
42.619204 / -75.666660","Storm water came down the road and fell onto the embankment and headwall at a culvert outlet causing a washout of the road shoulder and the embankment around the culvert outlet. Applicant hauled material and reshaped the embankment and the road shoulder.
Shoulder and embankment washout:  (40 FT Long X 20 FT Wide X 2 FT High)","$8,000",,,,,,,,
CHENANGO,33,11/8/2019,Town of Plymouth,"Pidgeon Hill Road
42.62317 / -75.66585 TO 42.62631 / -75.66781",Ditch and shoulder washout (450 FT Long X 6 FT Wide X 2 FT High),"$8,000",,,,,,,,
CHENANGO,34,11/8/2019,Town of Plymouth,"Boos Law Road
42.64262 / -75.62234","Cross road culvert (40 FT Long X 4 FT Diameter) CMP. Culvert is 50% plugged with gravel.  Storm water overwhelmed the culvert, washed over the gravel road leaving a large pile gravel on the inlet end and washing out the embankment and headwall on the outlet side. Applicant cleared the gravel pile on the inlet side to get the culvert flowing.  It's still 50% plugged.
Embankment washout:  (20FT Long X X 8 FT Width X 4 FT High) ","$6,000",,,,,,,,
CHENANGO,35,11/8/2019,Town of Plymouth,"Morley Road
42.64436 / -75.60366 TO 42.64174 / -75.60386","Ditch washout (760 FT X 2 FT Wide X 1 FT High)  Applicant reshaped the ditch.
Gravel road surface scouring (760 FT Long X 18 FT High)  Applicant graded the road smooth again.","$3,300",,,,,,,,
CHENANGO,36,11/8/2019,Town of Plymouth,"Porter Road
42.55762 / -75.63662 TO 42.55692 / -75.64860 ",Ditch washout along Porter Road.  (3280 FT Long X 3 FT Wide X 2 FT High),"$10,000",,,,,,,,
CHENANGO,37,11/8/2019,Town of Plymouth,"Porter Road
42.55692 / -75.64860    ","Storm water overwhelmed the culvert and came over the road causing a washout of the gravel roadway. The cuvert is still in place, but the headwall will need to be reset. Road washout (45 FT Long X 20 FT Wide X 5 FT High)","$13,000","$13,000",,,,,,,
CHENANGO,38,11/8/2019,Town of Plymouth,"Porter Road
42.55634 / -75.65642","Storm water came over the road. Road surface washout, gravel (68 FT Long X 18 FT Wide X 8 IN High)","$2,000","$2,000",,,,,,,
CHENANGO,39,11/8/2019,Town of Plymouth,"Porter Road
42.55630 / -75.65674",Storm water came over the road and washed out the gravel embankment at the tail wall of the culvert at this location.  Culvert not damaged. Embankment washout (16 FT Long X 8 FT Wide X 5 FT High),"$1,000","$1,000",,,,,,,
CHENANGO,40,11/8/2019,Town of Plymouth,"Porter Road
42.55633 / -75.65680",Storm water came over the road and washed the embankment away on the other side of the road.  Embankment washout (56 FT Long X 6 FT Wide X 3 FT High),"$2,000","$2,000",,,,,,,
CHENANGO,41,11/13/2019,Town of Smithville,"Lewis Road
42.39809 / -75.79632 TO 42.39808 / -75.79524",Ditch washout. Water scoured the ditch washing away material.   Material needs to be replaced and the ditch needs to be reshaped.  (275 FT Long X 4 FT Wide X 3 FT High),"$5,000","$5,000",,,,,,,
CHENANGO,42,11/13/2019,Town of Smithville,"Stone Quarry Road
42.42573/ -75.74776  TO 42.42554 / -75.75150","Storm water overwhelmed the capacity of the ditchs on both sides of the road, washing material out of the ditches and cutting it not the road shoulder and scouring the road surface, resulting in the following damages: 
1)Ditch washouts  (1000 FT Long X 2 FT Wide X 2 FT High)  On both sides of the road.  2000 FT total.
2)Road surface scoured.  Applicant replaced material and re-graded the road.  (42.42555, -75.75150 to 42.42582, -75.74676)  (1250 FT Long X 18 FT Wide X 2 IN High)
3)  Culvert pipe damaged during the road repair 18 IN Diameter X 40 FT long HDPE
4) Three fell on the town's grader during the job causing aprox $2000 damage.","$17,000","$17,000",,,,,,,
CHENANGO,43,11/13/2019,Town of Smithville,Stone Quarry Road     ,Ditch and shoulder washouts intermittent along 1.5 Miles X 18 FT Long X 2 FT High,"$15,000","$15,000",,,,,,,
CHENANGO,44,11/13/2019,Town of Smithville,"Pollard Road
42.40953 / -75.69630 TO 42.41047 / -75.69633","The cross road culvert was overwhelmed causing storm water to go into the ditch near the culvert and go over the road a short distance from the culvert, causing the road surface to be washed away. Applicant was able to reclaim some material on site and get the road graded but more material is needed to bring it back to PDC.   (340 FT Long X 18 FT Wide X 1 FT High)  ","$3,000","$3,000",,,,,,,
CHENANGO,45,11/18/2019,Chenango County DPW,Countywide,"Chenango County owns and maintains approx 308 centerline mile of roads.  The applicant PE has identified 9 sites that had severe granular fill shoulder washouts from overland flooding.  Costs range from a low of $2,000 to a high of $15,000 and distances vary from 185LF to 350LF",,"$70,000",,,,,,,
CHENANGO,46,11/18/2019,Chenango County DPW,Graham Road,"Bridge PIN @ 3351580 Loss of approx 65 tons of heavy stackable rip rap, loss of approx 104 CY of compactable fill.  Bridge crosses the Pleasant Brook.  Applicant has provided a July 2019 NYSDOT Bridge Inspection Report indicating this material was in place prior to the event.",,"$40,000",,,,,,,
CLINTON,1,11/15/2019,Clinton County Highway,County Wide Debris,"The Clinton County Highway is reporting that they had major debris throughout the county on the following roads. Rand Hill Road, Guide Board Road, Peasleeville road, Silver Lake Road, and Union Falls Road.  However, no pictures were captured.  On Monday morning, Harry Gough is scheduled to meet the Essex County Highway Superintendent and he will provide a driver to go to all the areas that debris was removed from the roads.  Clinton County estimates that they spent $75,000 clearing debris and have large amounts yet to clear 
I was taken by David Langlois of Clinton Co. Highway to 15 of the roads and Geographic coordinates and pictures were taken on each road and have been uploaded to the P drive.  Debris has been removed, however Snow is cover the remaining debris and much debris still needs to be removed.  Following is the Cost of work completed and cost of work to be completed 

Clinton County Highway Superintendent Karl Weiss reported the following costs  
Eqipment cost for debris cleanup of work completed  $2687
Estimated Cost of work to be complete  $32,244
Total debris cleanup cost $34,911","$34,911","$34,931",,,,,,,
CLINTON,2,11/14/2019,Essex County,"
Essex County Communication Tower in Clinton Co, on Terry Mountain
1159 Peasleeville Rd
Scjyler Falls, NY
44.574266, -73.674855","Updated on this report from yesterday. This 760-foot communication Tower is located within Clinton County, but owned and maintained by Essex County for their emergency radio service.  The road from Peasleeville road to the tower traverses through State land but is maintained by Essex County.  The tower provides communication for State Police, Essex County and Clinton County Emergency Services, and NYSEG.  There are additional antennas on this tower owned by commercial communication companies.  Essex County receives revenue from these commercial companies for the use of the tower. During the Oct 31 storm the microwave communication from the town was disrupted and power was lost causing emergency generators to take over.  After the storm microwave service was partially restored but at a degraded signal level and quality than before the storm.  Fuel needed to be delivered to the site to keep the generators running until power could be restored.  Special four wheeled vehicles were pulled into service to deliver this fuel.  An Essex County contractor was tasked to assess the damages to the tower and determined that the topmost guy wires holding the tower in place were serous sagging beyond normal and required re-tensioning.  Additionally, a piece of equipment from a shorter tower next to the 760-foot town was blown off and damaged the roof of the fuel storage shed.  The steep two plus mile dirt road from Peasleeville Road to the tower was seriously scoured and rendered impassible to vehicles that normally deliver materials and fuel to the site.  The cost to repair the damage to the road was estimated by the Clinton County EM and the Clinton County Highway Superintendent.  The following costs and estimates to restore the site to pre-disaster condition are as follows: 
- Delivery of fuel for generators $4K
RS Telecom, Inc. Terryu Mt Realignment and test $6739.28 - Adjusted Cost
- Mid State CE, Inc Terry Mt Realignment $7929
- Road repair $125,000
- Re-tensioning guy wire cables $32,000 (11/19/19 received quote lower than original estimate)
- Antenna Alignment $15,000
- Repair to Fuel shed roof $7,500K
-Generator running 80 hours $3488 (11/19/19 new cost added)
-Cost to restore Utility Pwer to the mountain $5000 (new cost added 11/19/19)
-Estimated cost to hire a company to remove a damaged tree threatening power line- $8,000
","$214,656",,,,,,,,
CLINTON,3,11/15/2019,Town of Elenburg,"Panther Lane, Previously called Bigelow Rd
44.827362, -73.953172 to 44.816415, -73.951951","Tree blowdown and severe road scour as deep as 4 feet in many places for a total of 4027 feet (0.8 miles) starting at GPS Coordinate 44.827362 -73.953172 to 44.816415 -73.951951.  The Highway Superintendent Brad Wright said the job is approximately 50% complete and estimated they spent $20,000  to do the work completed.   An additional $10,000 is estimated to complete the work after the snow leaves.  This road is a seasonal road that is not plowed by the Town, however there is one family living full time at the end of the road (GPS 44.827362 -73.953172)  and many camps along the road that are visited and occupied. at various times throughout the year.  The Town Highway cleared debris from the road for one day and brought in 30 loads of item 4 to fill the road washout.  The Ellenburg Highway Superintendent, estimated that an additional 20 loads of Item 4 will be required to bring the road back to pre-disaster condition.  one load of Item 4 cost $150/per load. ","$30,000","$30,000",,,,,,,
CLINTON,4,11/15/2019,Town of Ellenburg,"Sears Road
44.813083, -73.918444","Sears Road is a seasonal road that had major scour on the second major curve of the road.    
GPS coordinate approximately 44�48'47.1""N 73�55'06.4""W.  Due to snow cover the PDA Team was unable to get to the actual road scour, however the beginning of the seasonal road GPS coordinates are 44�49'22.6""N 73�54'48.9""W.  The portion of the road that is scoured used to be Nichols road, but is now part of Sears Road. The Highway superintendent indicated that he spent approximately $2400 in material and equipment on regular time labor to complete the work to date.  He estimates an additional $2400 in materials and equipment will be needed to return the site to pre-disaster condition.  ","$4,800","$4,800",,,,,,,
CLINTON,5,11/15/2019,Town of Ellenburg,Town Wide debris,"The Highway Superintendent indicated that his four man crew, plus himself, spent 10 hours on debris removal immediately after the storm, which was a Friday and their normal day off.  OT labor with fringe is $54/hour.  They used a chipper, loader and dump truck for this 10 hours.  Total estimated cost is $3260","$3,260","$3,260",,,,,,,
CLINTON,6,11/18/2019,Town of Plattsburgh,Town Wide Debris,"The Town of Plattsburgh removed debris from the following roads immediately after the storm and have at least one day of cleanup left with a 10 man crew: Bucks Corners Rd, Bart Merris Rd, Trudeau Rd, Gene Lefevre Rd, Akey Rd, bittersweet Rd , Darrah Rd, Oxbow Rd, Banker Rd. Robinson Rd, Catherine Hayse Rd, and Durand Rd. 
Total cost of work completed = 2,761.50
Total estimated cost of work to be completed = $3,000
Total Cost for Town Wide Debris cleanup = $5,762.00","$5,762","$5,762",,,,,,,
CLINTON,7,11/18/2019,Town of Plattsburgh,Street lights damaged by blowing debris and falling limbs,"Streetlight T#1509 located at the intersection of Twin Birch and Wild Flower Lanes was damaged by wind and blowing debris.  The top of the fixture was torn off along with the photocell eye

Town light T#0195 located on Bittersweet Lane was damaged.  The streetlight head was damaged.  A tree limb broke the feed to the streetlight.  Town disconnected and replaced the light head.  

The town did not had a bucket truck with adequate reach, therefore had to hire a bucket truck at a cost of $836.00
",$836,"$1,142",,,,,,,
CLINTON,,11/18/2019,Clinton County Emergency Manager Cost,,"Eric Day is reporting that he Clinton County EM office had the following expenses related to the Oct 31 Storm:
17.5 hours of Tahoe vehicle use - $350
3 hours of Gator use - $44.37
90 hours of 15KW generator use - $702.00
Prpane Fuel expense -$236.37 
4 hours OT for a dispatcher - $120.00
Total Clinton Co Emergency cost - $1453.43","$1,453","$1,216",,,,,,,
CLINTON,,11/19/2019,Town of Black Brook ,town Wide debris,"Loader for 27 hours at $50/hr. -$300
Chainsaw for 27 hours at $3/hr - $81
Chipper for 27 hours at $17.06 - $461
2 ton truck for 27 hours at $30/hr - 810
6 hours OT at $42 Inc fringe of 40% - $252
Broken windshield on loader - $1200
total $3,104","$3,104","$3,104",,,,,,,
CLINTON,,11/19/2019,Town of Champlain,Town Wide debris,"6 hours OT at $42/hr inc 40% fringe - $252
3 yd loader for 5 hours at $50 - $250
2 chain saws for 5 hours at $3 - $30
1 1/2 ton pickup for 5 hours at $26.82 - $134
12"" Chipper for 5 hours at $24.89 - $124
Total $790",$790,$790,,,,,,,
CLINTON,,11/19/2019,Town of Chazy,Town Wide debris,Highway superintendent assures me that he can justify $2000 in equipment during the storm clean up.  He was driving a plow truck when I contacted him ,"$2,000","$2,000",,,,,,,
CLINTON,,11/19/2019,Town of Clinton,Town Wide debris,"Highway superintendent was plowing but assures me that he can show FEMA $3,500 in costs","$3,500","$3,500",,,,,,,
CLINTON,,11/19/2019,Town of Dannemora,town Wide debris,"6 hours OT at $42/hr inc 40% fringe - $252
3.5  yd loader for 6 hours at $50 - $300
chain saw for 6 hours at $3 - $18
3/4 ton pickup for 6 hours at $15 - $90

Total $660",$660,$660,,,,,,,
CLINTON,,11/19/2019,Town of Mooers,town Wide debris,"Highway Superintendent was plowing but assures me that he can show FEMA $1,000 in costs","$1,000","$1,000",,,,,,,
CLINTON,,11/19/2019,Town of Peru,Town Wide debris,"Water treatment plant issues needing added chemicals
running generator
some trees uprooted and debris ",$800,$800,,,,,,,
CLINTON,,11/19/2019,City of Plattsburgh,City Wide Debris,"2 loaders for 8 hours at $50/hr - $800
Dump truck for 8 hours at $57.70 - $462
3 chain saws for 8 hours at $3/hr - $72
4 3/4 ton pickup trucks at $14.32/hr - 458
Total $1,792","$1,792","$1,792",,,,,,,
CLINTON,,11/19/2019,Town of Saranac,town Wide debris,"Dodge Ram 3500 18 hours at $22.99 - $414
Ford F250 18 hours at $22.64 - $408
Ford F150 19 hours at $20.00 - $380
John Deere 624 Loader 8 hours at $103.22 - $826
6"" wood Chipper 10 hours at $8.97 - $90
four Chain Saws 42 hours at $1.91
OT labor  - $1176
40% Fringe - $470
Total of work completed - $3844

Estimated work to be completed $2500
","$6,344","$6,344",,,,,,,
CLINTON,,11/19/2019,Town of Schuyler Falls,Town Wide debris,Highway superintendent assures me that he can justify $2000 in equipment during the storm clean up.  He was driving a plow truck when I contacted him ,$500,$500,,,,,,,
CLINTON,,11/19/2019,Village of Dannemora,Village Wide Debris,has not been confirmed yet ,$600,,,,,,,,
CLINTON,,11/22/2019,City of Plattsburgh,,"Water and Sewer overtime - 54 hours of overtime @ an average wage of $25.07/hr = $1,353.78
We did not use any extra materials, chemicals, fuel, etc.  We needed operators here for the cellular outage due to not being able to receive phone calls on the standby phones from the Zetron autodialer.","$1,354",,,,,,,,
 CORTLAND,1,11/4/2019,"
Town of Taylor
","Potter Hill Road
42.634413, -75.886729","* Steel/concrete bridge structure destroyed. Bridge span approximately (15 LF by 18 LF W)
* Conrete blocks retaining wall on south side embankment dislodged and displaced 
    Retaining wall dimensions (Approx 50 LF X 4 Ft W X 8 Ft H)
* North side embankment along the bridge abutment scoured eroded.  Area 60 LF X 5 FT variable width X 8 Ft H.
* Concrete abutment on South side damaged with sections of contrete washed out.","$75,000","$75,000",,,,,,,
 CORTLAND,2,11/4/2019,"
Town of Taylor
","Texas Valley Road
42.459968, -75.988855
","* Cross road culvert pipe metal 50 FL X 8 FT H X 13 Ft W damaged beyond repair.
* Associated road damage 60 LF X 30 LF W","$150,000","$150,000",,,,,,,
 CORTLAND,3,11/4/2019,Town of Cincinnatus,"Baldwins Corner Road
42.501100, -75.876243","* 50LF X 36 Inch circular corrigated culvert pipe washout
* Associated road damage 30 LF X 25 FT Wide","$8,000","$8,000",,,,,,,
 CORTLAND,4,11/5/2019,Town of Prebble,"Song Mountain Road
42.779091, -75.158982","* Road intergal gound embankment along ditch line of Song Mountain Road washed out.
    Area: 40 LF X 4 FT W (avg variable) X 6FT D
* Concrete pre-formed blocks (Approx. 6 FT L X 2 FT W X 2 FT H) retaining wall scoured and              
    displaced.  Two location; Site 1 reset 12 LF X 8 FT H.   Second Site; Reset 10 LF X 8 LF
*  Total 50 LF of guiderail reset due to lose of shoulder ","$8,000","$8,000",,,,,,,
 CORTLAND,5,11/4/2019,Town of Willet,"Forshee Road
42.46472, -75.880195 to 42.462870, -75.885431","* 1,500 LF of road side shoulder and road side drainage ditch scoured and eroded
   Area 1,500 LF X  4 FT Avg Variable W  X  3 FT Avg Variable D","$12,000","$12,000",,,,,,,
 CORTLAND,6,11/4/2019,Town of Willet,Melody Lake Road,"* 60 LF X 5 FT H circular HDPE culvert pipe washout
* Approx. 140 LF of road guide rail damaged
* Heavy stone at inlet and outlet displaced and washout out: 120 LF X 6 FT W X 10 FT D
* Associated road damage: 120 LF X 28 LF W X 1.5 FT D","$140,000","$140,000",,,,,,,
 CORTLAND,7,11/4/2019,Town of Willet,"Webb Road
42.444528, -75.914632","* 300 LF of road side shoulder and area of intergal ground eroded and washed out.
   Area 300 LF X 6 LF Avg. Variable W X 6 FT Avg. Variable D
* Associated road damage (stone/oil); Area 300 LF X 2 LF W Avg. Variable X 3 Inch D.","$15,000","$15,000",,,,,,,
 CORTLAND,8,11/18/2019,Town of Willet,"German Rd 42.477296, -75.884686
","cross culvert 60 FT, 24 IN plugged out 
embankment along the ditch washed out 2,120 FT (estimate $40,000)",,,FHWA Road,,,,,,
ERIE,1,11/8/2019,City of Buffalo,"LaSalle Park off Porter Ave on the lake, Buffalo
42.8908, -78.8943"," Portions of the base asphalt roadway was undermined and washed away by high wind driven water. Approx. 300' L x40' W was damaged. The roadway has 6"", 4"" binder & 1"" top.   
*** This park will be known in the future as RALPH C. WILSON MEMORIAL-CENTENNIAL PARK*** Estimate per city Engineer.","$26,000","$26,000",,,,,,,
ERIE,2,11/8/2019,City of Buffalo,"Bird Island Pier
X0 Porter Ave, Buffalo
42.9009,-78.9023",Wind & high water shifted & partially submerged 9 large section of stone/concrete blocks and the walkway located in the Niagara River. Each section is approx. 15' L x 6' W x 1.5' D. This does not include portions of the walkway that are submerged and couldn't be observed.,"$3,500,000","$1,750,000",,,,,,,
ERIE,3,11/8/2019,City of Buffalo,Various locations throughout the City,"280 trees were toppled in numerous sections of the City. Per City Engineer they utilized all their emplyees & hired 2 firms to assist w/the removal. Also, there was a water rescue by the city rescue team. Estimate per the Eng.","$200,000","$200,000",,,,,,,
ERIE,4,11/8/2019,Erie County,"Times Beach Nature Preserve
2 Furhmann Blvd, Buffalo
42.8757, -78.8834","High wind driven lake waters were pushed into the park/beach area up to & upon the highway lifting the boardwalk off it's supports severly damaging the facility which is 1300 lf L x 6 lf W constructed of composite deck & pressue treated railings (Cat G - $500,000). Also, there is 1444 cy of woody debris (Cat A - $100,000).","$600,000","$600,000",,,,,,,
